brewery,beer_name,beer_style,availability,aby,master_style,abv
Natty Greene's Brewing Co.,Cannonball Double IPA,Imperial or Double India Pale Ale,Limited,,IPA,8.0
Natty Greene's Brewing Co.,Coconut Porter,Robust Porter,Limited,,Porter,5.1
Natty Greene's Brewing Co.,Colony 9,American-Style Stout,Limited,,Stout,5.5
Natty Greene's Brewing Co.,Darkhorse,Other Belgian-Style Ales,Limited,,Other,
Natty Greene's Brewing Co.,Diamondback,South German-Style Weizenbock / Weissbock,,,Other,7.4
Natty Greene's Brewing Co.,Elm Street,American-Style India Pale Ale,Seasonal,,IPA,6.4
Natty Greene's Brewing Co.,Freedom IPA,American-Style India Pale Ale,Spring,,IPA,6.5
Natty Greene's Brewing Co.,General Stout,American-Style Stout,Year Round,,Stout,
Natty Greene's Brewing Co.,Guilford Golden Ale,American-Style Amber/Red Ale,Year Round,,Ale,3.8
Natty Greene's Brewing Co.,Kings,American-Style Imperial Stout,,,Stout,8.1
Natty Greene's Brewing Co.,Kriek Lambic,Belgian-Style Fruit Lambic,,,Other,6.5
Natty Greene's Brewing Co.,Lexington Smoked IPA,American-Style India Pale Ale,,,IPA,6.8
Natty Greene's Brewing Co.,Lexington Spring IPA,American-Style India Pale Ale,,,IPA,6.8
Natty Greene's Brewing Co.,Mt. Mitchell IPA,American-Style India Pale Ale,,,IPA,7.0
Natty Greene's Brewing Co.,North State Wet Hop IPA,American-Style India Pale Ale,,,IPA,6.8
Natty Greene's Brewing Co.,Old Fort,American-Style Black Ale,Limited,,Ale,6.8
Natty Greene's Brewing Co.,Old Town Brown,American-Style Brown Ale,Year Round,,Ale,4.7
Natty Greene's Brewing Co.,Powerhouse Scotch Wee Heavy,Scottish-Style Heavy Ale,Limited,,Ale,7.8
Natty Greene's Brewing Co.,Red Nose Winter Ale,Herb and Spice Beer,Winter,,Other,6.8
Natty Greene's Brewing Co.,Revolution IPA,American-Style India Pale Ale,,,IPA,6.7
Natty Greene's Brewing Co.,Rye IPA,Rye Ale or Lager with or without Yeast,Limited,,Other,6.5
Natty Greene's Brewing Co.,Rye Saison,French & Belgian-Style Saison,,,Saison,6.5
Natty Greene's Brewing Co.,Sons of Liberty,Strong Ale,Limited,,Ale,6.3
Natty Greene's Brewing Co.,Southern Pale Ale,American-Style Pale Ale,Year Round,,Pale Ale,5.2
Natty Greene's Brewing Co.,Swamp Fox,Belgian-Style Blonde Ale,Limited,,Ale,7.5
Natty Greene's Brewing Co.,The Corner Porter,Baltic-Style Porter,,,Porter,8.5
Natty Greene's Brewing Co.,Thicket Autumn IPA,American-Style India Pale Ale,,,IPA,6.5
Natty Greene's Brewing Co.,Weaver Street 25th Anniversary,French & Belgian-Style Saison,Limited,,Saison,7.2
Natty Greene's Brewing Co.,Weizenbock,South German-Style Weizenbock / Weissbock,Limited,,Other,6.5
Natty Greene's Brewing Co.,Wildflower Infused With Blackberry,Belgian-Style White (or Wit) / Belgian-Style Wheat,,,Other,9.0
Natty Greene's Brewing Co.,Wildflower Witbier,Belgian-Style White (or Wit) / Belgian-Style Wheat,Year Round,,Other,4.5
Natty Greene's Brewing Co.,201 Central Brett IPA,American-Style India Pale Ale,,,IPA,6.5
Natty Greene's Brewing Co.,American Sour Ale,American-Style Sour Ale,,,Ale,6.5
Natty Greene's Brewing Co.,American Sour Ale,American-Style Sour Ale,,,Ale,6.5
Natty Greene's Brewing Co.,Black Powder Imperial Stout,American-Style Imperial Stout,Limited,,Stout,8.4
Natty Greene's Brewing Co.,Buckshot Amber Ale,American-Style Amber/Red Ale,Year Round,,Ale,4.8
Natty Greene's Brewing Co.,Cannonball Double IPA,Imperial or Double India Pale Ale,Limited,,IPA,8.0
Natty Greene's Brewing Co.,Coconut Porter,Robust Porter,Limited,,Porter,5.1
Natty Greene's Brewing Co.,Colony 9,American-Style Stout,Limited,,Stout,5.5
Natty Greene's Brewing Co.,Darkhorse,Other Belgian-Style Ales,Limited,,Other,
Natty Greene's Brewing Co.,Diamondback,South German-Style Weizenbock / Weissbock,,,Other,7.4
Natty Greene's Brewing Co.,Elm Street,American-Style India Pale Ale,Seasonal,,IPA,6.4
Natty Greene's Brewing Co.,Freedom IPA,American-Style India Pale Ale,Spring,,IPA,6.5
Natty Greene's Brewing Co.,General Stout,American-Style Stout,Year Round,,Stout,
Natty Greene's Brewing Co.,Guilford Golden Ale,American-Style Amber/Red Ale,Year Round,,Ale,3.8
Natty Greene's Brewing Co.,Kings,American-Style Imperial Stout,,,Stout,8.1
Natty Greene's Brewing Co.,Kriek Lambic,Belgian-Style Fruit Lambic,,,Other,6.5
Natty Greene's Brewing Co.,Lexington Smoked IPA,American-Style India Pale Ale,,,IPA,6.8
Natty Greene's Brewing Co.,Lexington Spring IPA,American-Style India Pale Ale,,,IPA,6.8
Natty Greene's Brewing Co.,Mt. Mitchell IPA,American-Style India Pale Ale,,,IPA,7.0
Natty Greene's Brewing Co.,North State Wet Hop IPA,American-Style India Pale Ale,,,IPA,6.8
Natty Greene's Brewing Co.,Old Fort,American-Style Black Ale,Limited,,Ale,6.8
Natty Greene's Brewing Co.,Old Town Brown,American-Style Brown Ale,Year Round,,Ale,4.7
Natty Greene's Brewing Co.,Powerhouse Scotch Wee Heavy,Scottish-Style Heavy Ale,Limited,,Ale,7.8
Natty Greene's Brewing Co.,Red Nose Winter Ale,Herb and Spice Beer,Winter,,Other,6.8
Natty Greene's Brewing Co.,Revolution IPA,American-Style India Pale Ale,,,IPA,6.7
Natty Greene's Brewing Co.,Rye IPA,Rye Ale or Lager with or without Yeast,Limited,,Other,6.5
Natty Greene's Brewing Co.,Rye Saison,French & Belgian-Style Saison,,,Saison,6.5
Natty Greene's Brewing Co.,Sons of Liberty,Strong Ale,Limited,,Ale,6.3
Natty Greene's Brewing Co.,Southern Pale Ale,American-Style Pale Ale,Year Round,,Pale Ale,5.2
Natty Greene's Brewing Co.,Swamp Fox,Belgian-Style Blonde Ale,Limited,,Ale,7.5
Natty Greene's Brewing Co.,The Corner Porter,Baltic-Style Porter,,,Porter,8.5
Natty Greene's Brewing Co.,Thicket Autumn IPA,American-Style India Pale Ale,,,IPA,6.5
Natty Greene's Brewing Co.,Weaver Street 25th Anniversary,French & Belgian-Style Saison,Limited,,Saison,7.2
Natty Greene's Brewing Co.,Weizenbock,South German-Style Weizenbock / Weissbock,Limited,,Other,6.5
Natty Greene's Brewing Co.,Wildflower Infused With Blackberry,Belgian-Style White (or Wit) / Belgian-Style Wheat,,,Other,9.0
Natty Greene's Brewing Co.,Wildflower Witbier,Belgian-Style White (or Wit) / Belgian-Style Wheat,Year Round,,Other,4.5
Hi-Wire Brewing,10W-40,American-Style Imperial Stout,,,Stout,8.0
Hi-Wire Brewing,10W-40 Bourbon Barrel-Aged,American-Style Imperial Stout,,,Stout,8.0
Hi-Wire Brewing,"2nd Anniversary ""Hoppy Wheat""",American-Style Wheat Beer,,,Wheat Beer,
Hi-Wire Brewing,Aerialist Summer Lager,Vienna-Style Lager,,,Lager,5.5
Hi-Wire Brewing,Almost West IPA,American-Style India Pale Ale,,,IPA,6.8
Hi-Wire Brewing,Amaize IPA,American-Style India Pale Ale,Seasonal,,IPA,6.0
Hi-Wire Brewing,Apricot Blonde,Fruit Beer,Limited,,Other,4.6
Hi-Wire Brewing,Barrel Aged Russian Imperial Stout,American-Style Imperial Stout,Seasonal,,Stout,8.5
Hi-Wire Brewing,Bed of Nails Brown Ale,American-Style Brown Ale,Year Round,,Ale,6.1
Hi-Wire Brewing,Blonde Brunch Stout,Specialty Stouts,,,Other,4.8
Hi-Wire Brewing,Blonde Wheat Bock,Traditional German-Style Bock,,,Other,7.2
Hi-Wire Brewing,Blood Orange IPA,American-Style India Pale Ale,,,IPA,5.3
Hi-Wire Brewing,Brett IPA,American-Style India Pale Ale,,,IPA,7.5
Hi-Wire Brewing,Citra Gose,Contemporary Gose,Year Round,,Other,4.5
Hi-Wire Brewing,Dark Berry Sour,American-Style Sour Ale,,,Ale,6.9
Hi-Wire Brewing,Death Defying Spring Ale,Belgian-Style Pale Ale,,,Pale Ale,6.0
Hi-Wire Brewing,Double Hi-Pitch Mosaic IPA,Imperial or Double India Pale Ale,Limited,,IPA,9.0
Hi-Wire Brewing,Dry-Hopped Belgian Style Ale,American-Style Strong Pale Ale,,,Pale Ale,7.5
Hi-Wire Brewing,El Dorado Dry Hopped Dark Saison,French & Belgian-Style Saison,Limited,,Saison,8.2
Hi-Wire Brewing,Enchanter Baltic Porter,Baltic-Style Porter,,,Porter,8.5
Hi-Wire Brewing,Flanders Red,Belgian-Style Flanders Oud Bruin or Oud Red Ales,,,Other,5.8
Hi-Wire Brewing,Foeder Brett Saison,French & Belgian-Style Saison,,,Saison,6.5
Hi-Wire Brewing,German Chocolate Cupcake 10W-40,American-Style Imperial Stout,,,Stout,8.0
Hi-Wire Brewing,Gimme The Brut,Imperial or Double India Pale Ale,,,IPA,8.0
Hi-Wire Brewing,Gin BA Juniper Saison,French & Belgian-Style Saison,,,Saison,4.9
Hi-Wire Brewing,Gin Fizz Juniper Berry Saison,French & Belgian-Style Saison,,,Saison,8.15
Hi-Wire Brewing,Gose,Contemporary Gose,,,Other,4.2
Hi-Wire Brewing,Happy New Beer,American-Style Amber/Red Ale,,,Ale,7.6
Hi-Wire Brewing,Hazy & Juicy & Hoppy & Fresh IPA,American-Style India Pale Ale,,,IPA,7.5
Hi-Wire Brewing,Hi-Pitch IPA,American-Style India Pale Ale,Year Round,,IPA,6.7
Hi-Wire Brewing,Hi-Pitch Mosaic IPA,American-Style India Pale Ale,,,IPA,6.7
Hi-Wire Brewing,Hi-Wire Collaboration Pack Tropical Saison,French & Belgian-Style Saison,,,Saison,6.2
Hi-Wire Brewing,Hi-Wire Lager,American-Style Pilsener,Year Round,,Other,4.6
Hi-Wire Brewing,Hibiscus and White Grape Saison,French & Belgian-Style Saison,,,Saison,8.0
Hi-Wire Brewing,Hop Circus Vol 5. Tropical White IPA,American-Style India Pale Ale,,,IPA,6.0
Hi-Wire Brewing,Hop Circus Vol. 1,American-Style India Pale Ale,,,IPA,4.8
Hi-Wire Brewing,Hop Circus Vol. 2,American-Style India Pale Ale,,,IPA,7.0
Hi-Wire Brewing,Hop Circus Vol. 6 Lemondrop And Amarillo,American-Style India Pale Ale,,,IPA,6.0
Hi-Wire Brewing,Hoppy Pilsner,American-Style Pilsener,,,Other,5.5
Hi-Wire Brewing,Horchata 10W-40,American-Style Imperial Stout,,,Stout,8.0
Hi-Wire Brewing,Horchata Sour,American-Style Sour Ale,,,Ale,8.8
Hi-Wire Brewing,House English Bitter,Ordinary Bitter,,,Other,5.0
Hi-Wire Brewing,Hurricane Gose,Contemporary Gose,,,Other,6.0
Hi-Wire Brewing,Imperial Milk Stout,Sweet or Cream Stout,,,Stout,12.0
Hi-Wire Brewing,Irish Stout,Classic Irish-Style Dry Stout,,,Stout,4.5
Hi-Wire Brewing,Lion Tamer Red Rye IPA,Rye Ale or Lager with or without Yeast,Seasonal,,Other,7.0
Hi-Wire Brewing,Lo-Pitch Juicy,Session India Pale Ale,Year Round,,IPA,4.9
Hi-Wire Brewing,Maibock,German-Style Heller Bock/Maibock,,,Other,7.0
Hi-Wire Brewing,Man Eater,Imperial or Double India Pale Ale,,,IPA,8.3
Hi-Wire Brewing,Mango IPA,American-Style India Pale Ale,,,IPA,5.0
Hi-Wire Brewing,mtns to sea,Robust Porter,,,Porter,7.0
Hi-Wire Brewing,Orange Meringue,Leipzig-Style Gose,,,Other,4.2
Hi-Wire Brewing,Palo Santo 10W-40,Imperial or Double India Pale Ale,,,IPA,8.0
Hi-Wire Brewing,Pink Drink,American-Style Sour Ale,,,Ale,4.2
Hi-Wire Brewing,Porter w/Figs & Molasses,Brown Porter,,,Porter,7.0
Hi-Wire Brewing,Prime Time Pale Ale,American-Style Pale Ale,Year Round,,Pale Ale,5.5
Hi-Wire Brewing,Pulcinella,American-Style Imperial Stout,,,Stout,9.0
Hi-Wire Brewing,Pumpkin Lager,Pumpkin Beer,,,Other,6.0
Hi-Wire Brewing,Purple Punch,Fruit Beer,,,Other,4.2
Hi-Wire Brewing,Ringmaster's Reserve: Raspberry Wheat Wine,American-Style Wheat Wine Ale,Limited,,Ale,13.0
Hi-Wire Brewing,Rosé Ale,Fruit Beer,,,Other,4.6
Hi-Wire Brewing,Rye Pilsner,American-Style Pilsener,,,Other,
Hi-Wire Brewing,S'mores Porter,Robust Porter,,,Porter,6.0
Hi-Wire Brewing,Salted Maple 10W-40,Imperial or Double India Pale Ale,,,IPA,8.0
Hi-Wire Brewing,Smoked Mexican-style Lager,American-Style Lager,,,Lager,4.9
Hi-Wire Brewing,Sour Pumpkin,American-Style Sour Ale,,,Ale,8.6
Hi-Wire Brewing,Sour Vintage Ale,Wood- and Barrel-Aged Sour Beer,,,Other,8.1
Hi-Wire Brewing,Southern Hemisphere,American-Style India Pale Ale,,,IPA,7.1
Hi-Wire Brewing,Strongman Coffee Milk Stout,Sweet or Cream Stout,Winter,,Stout,5.3
Hi-Wire Brewing,Strongman Raspberry Mocha,Sweet or Cream Stout,,,Stout,5.3
Hi-Wire Brewing,The Contortionist,American-Style Black Ale,Spring,,Ale,6.0
Hi-Wire Brewing,Traditional Belgian Saison,French & Belgian-Style Saison,,,Saison,4.9
Hi-Wire Brewing,Tropical Fruit Golden Strong,Strong Ale,,,Ale,11.3
Hi-Wire Brewing,Tropical Sour Weisse,American-Style Sour Ale,,,Ale,4.2
Hi-Wire Brewing,Twice As Nice,German-Style Doppelbock,,,Other,10.0
Hi-Wire Brewing,Uprisin' Hefeweizen,South German-Style Hefeweizen / Hefeweissbier,Summer,,Hefeweizen,5.0
Hi-Wire Brewing,Volume 1 - Farmhouse Series,French & Belgian-Style Saison,Limited,,Saison,4.9
Hi-Wire Brewing,Wheels of Soul,American-Style Pale Ale,,,Pale Ale,5.5
Hi-Wire Brewing,Zirkusfest,American-Style Märzen / Oktoberfest,Fall,,Other,6.0
Hi-Wire Brewing,Irish Stout,Classic Irish-Style Dry Stout,,,Stout,4.5
Hi-Wire Brewing,Irish Stout,Classic Irish-Style Dry Stout,,,Stout,4.5
Hi-Wire Brewing,Porter w/Figs & Molasses,Brown Porter,,,Porter,7.0
Hi-Wire Brewing,Amaize IPA,American-Style India Pale Ale,Seasonal,,IPA,6.0
Hi-Wire Brewing,Amaize IPA,American-Style India Pale Ale,Seasonal,,IPA,6.0
Hi-Wire Brewing,10W-40,American-Style Imperial Stout,,,Stout,8.0
Hi-Wire Brewing,10W-40 Bourbon Barrel-Aged,American-Style Imperial Stout,,,Stout,8.0
Hi-Wire Brewing,"2nd Anniversary ""Hoppy Wheat""",American-Style Wheat Beer,,,Wheat Beer,
Hi-Wire Brewing,Aerialist Summer Lager,Vienna-Style Lager,,,Lager,5.5
Hi-Wire Brewing,Almost West IPA,American-Style India Pale Ale,,,IPA,6.8
Hi-Wire Brewing,Amaize IPA,American-Style India Pale Ale,Seasonal,,IPA,6.0
Hi-Wire Brewing,Apricot Blonde,Fruit Beer,Limited,,Other,4.6
Hi-Wire Brewing,Barrel Aged Russian Imperial Stout,American-Style Imperial Stout,Seasonal,,Stout,8.5
Hi-Wire Brewing,Bed of Nails Brown Ale,American-Style Brown Ale,Year Round,,Ale,6.1
Hi-Wire Brewing,Blonde Brunch Stout,Specialty Stouts,,,Other,4.8
Hi-Wire Brewing,Blonde Wheat Bock,Traditional German-Style Bock,,,Other,7.2
Hi-Wire Brewing,Blood Orange IPA,American-Style India Pale Ale,,,IPA,5.3
Hi-Wire Brewing,Brett IPA,American-Style India Pale Ale,,,IPA,7.5
Hi-Wire Brewing,Citra Gose,Contemporary Gose,Year Round,,Other,4.5
Hi-Wire Brewing,Dark Berry Sour,American-Style Sour Ale,,,Ale,6.9
Hi-Wire Brewing,Death Defying Spring Ale,Belgian-Style Pale Ale,,,Pale Ale,6.0
Hi-Wire Brewing,Double Hi-Pitch Mosaic IPA,Imperial or Double India Pale Ale,Limited,,IPA,9.0
Hi-Wire Brewing,Dry-Hopped Belgian Style Ale,American-Style Strong Pale Ale,,,Pale Ale,7.5
Hi-Wire Brewing,El Dorado Dry Hopped Dark Saison,French & Belgian-Style Saison,Limited,,Saison,8.2
Hi-Wire Brewing,Enchanter Baltic Porter,Baltic-Style Porter,,,Porter,8.5
Hi-Wire Brewing,Flanders Red,Belgian-Style Flanders Oud Bruin or Oud Red Ales,,,Other,5.8
Hi-Wire Brewing,Foeder Brett Saison,French & Belgian-Style Saison,,,Saison,6.5
Hi-Wire Brewing,German Chocolate Cupcake 10W-40,American-Style Imperial Stout,,,Stout,8.0
Hi-Wire Brewing,Gimme The Brut,Imperial or Double India Pale Ale,,,IPA,8.0
Hi-Wire Brewing,Gin BA Juniper Saison,French & Belgian-Style Saison,,,Saison,4.9
Hi-Wire Brewing,Gin Fizz Juniper Berry Saison,French & Belgian-Style Saison,,,Saison,8.15
Hi-Wire Brewing,Gose,Contemporary Gose,,,Other,4.2
Hi-Wire Brewing,Happy New Beer,American-Style Amber/Red Ale,,,Ale,7.6
Hi-Wire Brewing,Hazy & Juicy & Hoppy & Fresh IPA,American-Style India Pale Ale,,,IPA,7.5
Hi-Wire Brewing,Hi-Pitch IPA,American-Style India Pale Ale,Year Round,,IPA,6.7
Hi-Wire Brewing,Hi-Pitch Mosaic IPA,American-Style India Pale Ale,,,IPA,6.7
Hi-Wire Brewing,Hi-Wire Collaboration Pack Tropical Saison,French & Belgian-Style Saison,,,Saison,6.2
Hi-Wire Brewing,Hi-Wire Lager,American-Style Pilsener,Year Round,,Other,4.6
Hi-Wire Brewing,Hibiscus and White Grape Saison,French & Belgian-Style Saison,,,Saison,8.0
Hi-Wire Brewing,Hop Circus Vol 5. Tropical White IPA,American-Style India Pale Ale,,,IPA,6.0
Hi-Wire Brewing,Hop Circus Vol. 1,American-Style India Pale Ale,,,IPA,4.8
Hi-Wire Brewing,Hop Circus Vol. 2,American-Style India Pale Ale,,,IPA,7.0
Hi-Wire Brewing,Hop Circus Vol. 6 Lemondrop And Amarillo,American-Style India Pale Ale,,,IPA,6.0
Hi-Wire Brewing,Hoppy Pilsner,American-Style Pilsener,,,Other,5.5
Hi-Wire Brewing,Horchata 10W-40,American-Style Imperial Stout,,,Stout,8.0
Hi-Wire Brewing,Horchata Sour,American-Style Sour Ale,,,Ale,8.8
Hi-Wire Brewing,House English Bitter,Ordinary Bitter,,,Other,5.0
Hi-Wire Brewing,Hurricane Gose,Contemporary Gose,,,Other,6.0
Hi-Wire Brewing,Imperial Milk Stout,Sweet or Cream Stout,,,Stout,12.0
Hi-Wire Brewing,Irish Stout,Classic Irish-Style Dry Stout,,,Stout,4.5
Hi-Wire Brewing,Lion Tamer Red Rye IPA,Rye Ale or Lager with or without Yeast,Seasonal,,Other,7.0
Hi-Wire Brewing,Lo-Pitch Juicy,Session India Pale Ale,Year Round,,IPA,4.9
Hi-Wire Brewing,Maibock,German-Style Heller Bock/Maibock,,,Other,7.0
Hi-Wire Brewing,Man Eater,Imperial or Double India Pale Ale,,,IPA,8.3
Hi-Wire Brewing,Mango IPA,American-Style India Pale Ale,,,IPA,5.0
Hi-Wire Brewing,mtns to sea,Robust Porter,,,Porter,7.0
Hi-Wire Brewing,Orange Meringue,Leipzig-Style Gose,,,Other,4.2
Hi-Wire Brewing,Palo Santo 10W-40,Imperial or Double India Pale Ale,,,IPA,8.0
Hi-Wire Brewing,Pink Drink,American-Style Sour Ale,,,Ale,4.2
Hi-Wire Brewing,Porter w/Figs & Molasses,Brown Porter,,,Porter,7.0
Hi-Wire Brewing,Prime Time Pale Ale,American-Style Pale Ale,Year Round,,Pale Ale,5.5
Hi-Wire Brewing,Pulcinella,American-Style Imperial Stout,,,Stout,9.0
Hi-Wire Brewing,Pumpkin Lager,Pumpkin Beer,,,Other,6.0
Hi-Wire Brewing,Purple Punch,Fruit Beer,,,Other,4.2
Hi-Wire Brewing,Ringmaster's Reserve: Raspberry Wheat Wine,American-Style Wheat Wine Ale,Limited,,Ale,13.0
Hi-Wire Brewing,Rosé Ale,Fruit Beer,,,Other,4.6
Hi-Wire Brewing,Rye Pilsner,American-Style Pilsener,,,Other,
Hi-Wire Brewing,S'mores Porter,Robust Porter,,,Porter,6.0
Hi-Wire Brewing,Salted Maple 10W-40,Imperial or Double India Pale Ale,,,IPA,8.0
Hi-Wire Brewing,Smoked Mexican-style Lager,American-Style Lager,,,Lager,4.9
Hi-Wire Brewing,Sour Pumpkin,American-Style Sour Ale,,,Ale,8.6
Hi-Wire Brewing,Sour Vintage Ale,Wood- and Barrel-Aged Sour Beer,,,Other,8.1
Hi-Wire Brewing,Southern Hemisphere,American-Style India Pale Ale,,,IPA,7.1
Hi-Wire Brewing,Strongman Coffee Milk Stout,Sweet or Cream Stout,Winter,,Stout,5.3
Hi-Wire Brewing,Strongman Raspberry Mocha,Sweet or Cream Stout,,,Stout,5.3
Hi-Wire Brewing,The Contortionist,American-Style Black Ale,Spring,,Ale,6.0
Hi-Wire Brewing,Traditional Belgian Saison,French & Belgian-Style Saison,,,Saison,4.9
Hi-Wire Brewing,Tropical Fruit Golden Strong,Strong Ale,,,Ale,11.3
Hi-Wire Brewing,Tropical Sour Weisse,American-Style Sour Ale,,,Ale,4.2
Hi-Wire Brewing,Twice As Nice,German-Style Doppelbock,,,Other,10.0
Hi-Wire Brewing,Uprisin' Hefeweizen,South German-Style Hefeweizen / Hefeweissbier,Summer,,Hefeweizen,5.0
Hi-Wire Brewing,Volume 1 - Farmhouse Series,French & Belgian-Style Saison,Limited,,Saison,4.9
Hi-Wire Brewing,Wheels of Soul,American-Style Pale Ale,,,Pale Ale,5.5
Hi-Wire Brewing,Zirkusfest,American-Style Märzen / Oktoberfest,Fall,,Other,6.0
Hi-Wire Brewing,Irish Stout,Classic Irish-Style Dry Stout,,,Stout,4.5
Hi-Wire Brewing,Irish Stout,Classic Irish-Style Dry Stout,,,Stout,4.5
Hi-Wire Brewing,Porter w/Figs & Molasses,Brown Porter,,,Porter,7.0
Hi-Wire Brewing,Amaize IPA,American-Style India Pale Ale,Seasonal,,IPA,6.0
Hi-Wire Brewing,Amaize IPA,American-Style India Pale Ale,Seasonal,,IPA,6.0
Skull Coast Ales,Doubloon Double Pale Ale,American-Style Strong Pale Ale,Limited,,Pale Ale,8.5
Skull Coast Ales,Gallows Point Dead Man's Porter,Robust Porter,Seasonal,,Porter,7.0
Skull Coast Ales,Maelstrom India Pale Ale,American-Style India Pale Ale,Year Round,,IPA,7.0
Skull Coast Ales,Pirate King Triple India Pale Ale,Imperial or Double India Pale Ale,Limited,,IPA,10.0
Skull Coast Ales,Scallywag Extra Pale Ale,American-Style Strong Pale Ale,Year Round,,Pale Ale,5.4
Skull Coast Ales,Sea Witch Watermelon Wheat Ale,Fruit Wheat Ale or Lager with or without Yeast,Summer,,Other,5.2
Skull Coast Ales,Skull White,Belgian-Style White (or Wit) / Belgian-Style Wheat,Limited,,Other,6.0
Liberty Steakhouse and Brewery,Amber Waves,American-Style Amber/Red Ale,,,Ale,
Liberty Steakhouse and Brewery,Liberty Nut Brown Ale,American-Style Brown Ale,,,Ale,
Liberty Steakhouse and Brewery,Liberty Pale Ale,American-Style Pale Ale,,,Pale Ale,
Liberty Steakhouse and Brewery,Liberty Raspberry Wheat Ale,Fruit Beer,,,Other,
Liberty Steakhouse and Brewery,Liberty Unfiltered Wheat Ale,American-Style Wheat Beer,,,Wheat Beer,
Liberty Steakhouse and Brewery,Liberty White Ale,Belgian-Style Blonde Ale,,,Ale,
Liberty Steakhouse and Brewery,Miss Liberty Lager,American-Style Premium Lager,,,Lager,
Liberty Steakhouse and Brewery,Patriot Porter,Brown Porter,,,Porter,
Liberty Steakhouse and Brewery,Rocket's Red Ale,American-Style Amber/Red Ale,,,Ale,6.0
Liberty Steakhouse and Brewery,Amber Waves,American-Style Amber/Red Ale,,,Ale,
Liberty Steakhouse and Brewery,Liberty Nut Brown Ale,American-Style Brown Ale,,,Ale,
Liberty Steakhouse and Brewery,Liberty Pale Ale,American-Style Pale Ale,,,Pale Ale,
Liberty Steakhouse and Brewery,Liberty Raspberry Wheat Ale,Fruit Beer,,,Other,
Liberty Steakhouse and Brewery,Liberty Unfiltered Wheat Ale,American-Style Wheat Beer,,,Wheat Beer,
Liberty Steakhouse and Brewery,Liberty White Ale,Belgian-Style Blonde Ale,,,Ale,
Liberty Steakhouse and Brewery,Miss Liberty Lager,American-Style Premium Lager,,,Lager,
Liberty Steakhouse and Brewery,Patriot Porter,Brown Porter,,,Porter,
Liberty Steakhouse and Brewery,Rocket's Red Ale,American-Style Amber/Red Ale,,,Ale,6.0
Liberty Steakhouse and Brewery,Amber Waves,American-Style Amber/Red Ale,,,Ale,
Liberty Steakhouse and Brewery,Liberty Nut Brown Ale,American-Style Brown Ale,,,Ale,
Liberty Steakhouse and Brewery,Liberty Pale Ale,American-Style Pale Ale,,,Pale Ale,
Liberty Steakhouse and Brewery,Liberty Raspberry Wheat Ale,Fruit Beer,,,Other,
Liberty Steakhouse and Brewery,Liberty Unfiltered Wheat Ale,American-Style Wheat Beer,,,Wheat Beer,
Liberty Steakhouse and Brewery,Liberty White Ale,Belgian-Style Blonde Ale,,,Ale,
Liberty Steakhouse and Brewery,Miss Liberty Lager,American-Style Premium Lager,,,Lager,
Liberty Steakhouse and Brewery,Patriot Porter,Brown Porter,,,Porter,
Liberty Steakhouse and Brewery,Rocket's Red Ale,American-Style Amber/Red Ale,,,Ale,6.0
Keeper's Cut Meadery,Amarena,Sweet Mead,Year Round,,Other,12.5
Keeper's Cut Meadery,Anann-Te,Dry Mead,Year Round,,Other,12.5
Keeper's Cut Meadery,Big Foot Blood,Dry Mead,Year Round,,Other,6.5
Keeper's Cut Meadery,Blackberry,Dry Mead,Year Round,,Other,12.5
Keeper's Cut Meadery,Cran It Up Your Apple,Dry Mead,Year Round,,Other,6.5
Keeper's Cut Meadery,Melissa's Gold,Semi-Sweet Mead,Year Round,,Other,12.5
Keeper's Cut Meadery,Zeus' Gold,Dry Mead,Year Round,,Other,12.5
Koi Pond Brewing Company,3 Monks Belgian Tripel,Belgian-Style Tripel,,,Other,7.4
Koi Pond Brewing Company,Accidental IPA,American-Style India Pale Ale,,,IPA,5.5
Koi Pond Brewing Company,Destination Stout,American-Style Stout,,,Stout,7.0
Koi Pond Brewing Company,Double Dragon Imperial IPA,Imperial or Double India Pale Ale,,,IPA,7.0
Koi Pond Brewing Company,Down East Harvest Ale – SEASONAL,Herb and Spice Beer,,,Other,5.4
Koi Pond Brewing Company,Falls Road Golden Kolsch,German-Style Kölsch / Köln-Style Kölsch,,,Other,6.1
Koi Pond Brewing Company,Gateway Dubbel Belgian Ale,Belgian-Style Dubbel,,,Other,6.5
Koi Pond Brewing Company,Happiness Rye IPA,American-Style India Pale Ale,,,IPA,6.4
Koi Pond Brewing Company,Kilt of Personality Wee Heavy Ale,Scottish-Style Heavy Ale,,,Ale,8.4
Koi Pond Brewing Company,Peach Lotus Saison – SEASONAL,French & Belgian-Style Saison,,,Saison,5.9
Koi Pond Brewing Company,Rising Sun Mocha Java Stout,Coffee-Flavored Beer,,,Other,7.0
Koi Pond Brewing Company,VooDoo Wit,Belgian-Style White (or Wit) / Belgian-Style Wheat,,,Other,5.7
Koi Pond Brewing Company,White Elephant Thai Basil Saison,French & Belgian-Style Saison,,,Saison,6.0
Koi Pond Brewing Company,Wicked Elf Imperial Gingerbread Porter – SEASONAL,Brown Porter,,,Porter,8.2
Coffee Brewery,1369 Nitro Cold Brew Coffee,Non-Alcoholic (Beer) Malt Beverages,,,Other,
Coffee Brewery,3 Bean Coffee,Non-Alcoholic (Beer) Malt Beverages,,,Other,
